[대기 -> 승인] 김광훈, 915호, 2025-04-25, 12:00~16:00
[대기 -> 승인] 김광훈, 915호, 2025-04-25, 12:00~16:00
[승인 -> 거절] student01, R101, 2025-04-14, 09:00~11:00
[승인 -> 거절] student01, R101, 2025-04-14, 09:00~11:00
[거절 -> 승인] student01, R101, 2025-04-14, 09:00~11:00
[거절 -> 승인] student01, R101, 2025-04-14, 09:00~11:00
[대기 -> 거절] 이테스트, 902호, 2025-05-02, 11:00~13:00
[대기 -> 승인] 김테스트, 901호, 2025-05-01, 10:00~12:00
[대기 -> 승인] 홍길동, 903호, 2025-05-10, 13:00~15:00
[승인 -> 거절] 김광훈, 916호, 2025-05-17, 12:00~13:00
[승인 -> 거절] 김광훈, 916호, 2025-05-17, 12:00~13:00
[승인 -> 거절] 김광훈, 912호, 2025-04-16, 10:00~12:00
[승인 -> 거절] 김광훈, 912호, 2025-04-16, 10:00~12:00
[승인 -> 거절] 김광훈, 918호, 2025-04-20, 12:00~16:00
[승인 -> 거절] 김광훈, 918호, 2025-04-20, 12:00~16:00
[거절 -> 승인] 김광훈, 913호, 2025-04-21, 12:00~15:00
[거절 -> 승인] 김광훈, 913호, 2025-04-21, 12:00~15:00
[대기 -> 승인] 김광훈, 918호, 2025-04-25, 12:00~16:00
[대기 -> 거절] 김광훈, 916호, 2025-04-26, 12:00~16:00
[대기 -> 승인] 김광훈, 915호, 2025-04-28, 12:00~16:00
[승인 -> 거절] 김광훈, 915호, 2025-04-28, 12:00~16:00
[승인 -> 거절] 김광훈, 915호, 2025-04-28, 12:00~16:00
[거절 -> 승인] 김광훈, 915호, 2025-04-28, 12:00~16:00
[거절 -> 승인] 김광훈, 915호, 2025-04-28, 12:00~16:00
[대기 -> 승인] 컨트롤러, 999호, 2025-05-10, 12:00~14:00
[대기 -> 거절] 컨트롤러2, 998호, 2025-05-11, 13:00~15:00
[대기 -> 승인] 컨트롤러, 999호, 2025-05-10, 12:00~14:00
[대기 -> 거절] 컨트롤러2, 998호, 2025-05-11, 13:00~15:00
[승인 -> 거절] 김테스트, 901호, 2025-05-01, 10:00~12:00
[승인 -> 거절] 김테스트, 901호, 2025-05-01, 10:00~12:00
[승인 -> 거절] 김테스트, 901호, 2025-05-01, 10:00~12:00
[승인 -> 거절] 김테스트, 901호, 2025-05-01, 10:00~12:00
[대기 -> 승인] 컨트롤러, 999호, 2025-05-10, 12:00~14:00
[대기 -> 거절] 컨트롤러2, 998호, 2025-05-11, 13:00~15:00
[거절 -> 승인] 테스트, 903호, 2025-05-12, 11:00~13:00
[거절 -> 승인] 테스트, 903호, 2025-05-12, 11:00~13:00
